Time (ms),Name,Value
36787,"value2","441.0"
36888,"value1","526.0"
36888,"value3","615.0"
36888,"value2","440.0"
36989,"value1","524.0"
36989,"value3","614.0"
37090,"value1","524.0"
37090,"value2","442.0"
37090,"value3","615.0"
37191,"value1","524.0"
37191,"value2","442.0"
37191,"value3","614.0"
37295,"value1","525.0"
37295,"value2","441.0"
37295,"value3","616.0"
37396,"value1","526.0"
37396,"value2","441.0"
37396,"value3","615.0"
37499,"value1","525.0"
37499,"value3","615.0"
37499,"value2","441.0"
37598,"value1","525.0"
37598,"value2","440.0"
37599,"value3","616.0"
37699,"value1","525.0"
37699,"value2","440.0"
37699,"value3","615.0"
37800,"value1","525.0"
37800,"value2","440.0"
37800,"value3","616.0"
37903,"value1","525.0"
37903,"value2","440.0"
37903,"value3","615.0"
38002,"value1","525.0"
38002,"value2","439.0"
38002,"value3","616.0"
38103,"value1","524.0"
38103,"value2","441.0"
38103,"value3","616.0"
38204,"value2","441.0"
38204,"value3","616.0"
38204,"value1","523.0"
38305,"value1","524.0"
38305,"value2","439.0"
38305,"value3","616.0"
38406,"value1","523.0"
38406,"value2","440.0"
38406,"value3","616.0"
38507,"value1","525.0"
38507,"value3","613.0"
38507,"value2","439.0"
38608,"value2","438.0"
38609,"value3","615.0"
38609,"value1","523.0"
38709,"value2","439.0"
38709,"value3","614.0"
38709,"value1","523.0"
38810,"value3","616.0"
38810,"value2","440.0"
38911,"value1","524.0"
38911,"value2","440.0"
38911,"value3","615.0"
39015,"value1","525.0"
39015,"value2","440.0"
39015,"value3","615.0"
39123,"value1","524.0"
39123,"value2","439.0"
39123,"value3","615.0"
39219,"value2","441.0"
39219,"value3","616.0"
39219,"value1","525.0"
39320,"value2","441.0"
39320,"value3","615.0"
39320,"value1","525.0"
39421,"value1","523.0"
39421,"value2","439.0"
39421,"value3","615.0"
39522,"value1","524.0"
39523,"value2","440.0"
39523,"value3","617.0"
39623,"value2","438.0"
39623,"value3","616.0"
39623,"value1","523.0"
39736,"value1","522.0"
39736,"value2","440.0"
39825,"value1","525.0"
39825,"value2","438.0"
39826,"value3","616.0"
39940,"value1","523.0"
39941,"value2","440.0"
39941,"value3","615.0"
40027,"value2","439.0"
40027,"value3","615.0"
40158,"value1","525.0"
40158,"value2","439.0"
40158,"value3","614.0"
40229,"value1","522.0"
40229,"value3","615.0"
40229,"value2","440.0"
40351,"value1","524.0"
40352,"value2","438.0"
40352,"value3","615.0"
40431,"value1","524.0"
40431,"value2","438.0"
40431,"value3","616.0"
40535,"value1","525.0"
40535,"value3","615.0"
40535,"value2","439.0"
40639,"value1","523.0"
40639,"value2","439.0"
40640,"value3","616.0"
40740,"value3","616.0"
40740,"value2","439.0"
40740,"value1","522.0"
40841,"value1","523.0"
40841,"value2","438.0"
40841,"value3","615.0"
40942,"value2","438.0"
40942,"value3","614.0"
40943,"value1","523.0"
41043,"value1","522.0"
41043,"value2","438.0"
41043,"value3","615.0"
41144,"value1","523.0"
41144,"value2","439.0"
41144,"value3","616.0"
41245,"value1","523.0"
41245,"value2","439.0"
41246,"value3","615.0"
41346,"value1","521.0"
41346,"value2","439.0"
41346,"value3","616.0"
41447,"value2","437.0"
41447,"value3","615.0"
41448,"value1","522.0"
41548,"value1","521.0"
41548,"value3","616.0"
41548,"value2","437.0"
41649,"value1","522.0"
41649,"value2","437.0"
41649,"value3","614.0"
41750,"value1","522.0"
41750,"value2","438.0"
41750,"value3","616.0"
41851,"value1","523.0"
41851,"value3","616.0"
41852,"value2","437.0"
41956,"value2","438.0"
41956,"value1","523.0"
41956,"value3","614.0"
42059,"value1","524.0"
42059,"value3","615.0"
42059,"value2","439.0"
42160,"value1","522.0"
42160,"value2","436.0"
42160,"value3","614.0"
42260,"value1","523.0"
42260,"value2","438.0"
42260,"value3","615.0"
42361,"value1","521.0"
42361,"value3","615.0"
42361,"value2","438.0"
42462,"value1","523.0"
42462,"value2","438.0"
42462,"value3","615.0"
42563,"value2","438.0"
42563,"value3","615.0"
42563,"value1","522.0"
42664,"value2","438.0"
42664,"value3","615.0"
42664,"value1","523.0"
42765,"value1","522.0"
